Study Accession	Suppl Concept	Modifier	Disease Background/Stratification, Phenotype/Biomarker, Treatment Response/Side_Effect or Interactions
GCST000180		phenotype	spine bmd
GCST000181		phenotype	hip bmd
GCST000184		biomarker	triglyceride
GCST000184		phenotype, biomarker	waist circumference, hdl
GCST000187		background	early-onset
GCST000187		stratified	early-onset
GCST000189		biomarker	adipoq
GCST000189		biomarker	alb
GCST000189		biomarker	alkaline phosphatase
GCST000189		biomarker	alpha globulin
GCST000189		biomarker	alpha macroglobulin
GCST000189		biomarker	apolipoprotein a1 levels
GCST000189		biomarker	aspartate aminotransferase
GCST000189		biomarker	ccl2
GCST000189		biomarker	ccl4
GCST000189		biomarker	c-reactive protein
GCST000189		biomarker	erythropoetin
GCST000189		biomarker	ferritin
GCST000189		biomarker	fibrinogen
GCST000189		biomarker	fructose-bisphosphate aldolase
GCST000189		biomarker	gamma-glutamyl transferase
GCST000189		biomarker	glycoprotein
GCST000189		biomarker	hemoglobin
GCST000189		biomarker	insulin
GCST000189		biomarker	insulin like growth factor
GCST000189		biomarker	interleukin 10
GCST000189		biomarker	interleukin 12
GCST000189		biomarker	interleukin 18
GCST000189		biomarker	interleukin-1 beta
GCST000189		biomarker	interleukin 1 receptor antagonist
GCST000189		biomarker	interleukin-6
GCST000189		biomarker	interleukin-6 receptor
GCST000189		biomarker	interleukin-8
GCST000189		biomarker	leptin
GCST000189		biomarker	l lactate dehydrogenase
GCST000189		biomarker	myoglobin
GCST000189		biomarker	parathyroid hormone
GCST000189		biomarker	resistin
GCST000189		biomarker	shgb
GCST000189		biomarker	tfrc, soluble
GCST000189		biomarker	tgfb1
GCST000189		biomarker	thyroxine
GCST000189		biomarker	tnf
GCST000189		biomarker	triiodothyronine
GCST000189		biomarker	tshb
GCST000190		phenotype	black vs. blond hair color
GCST000191		phenotype	black vs. red hair color
GCST000192		phenotype	blue vs. green eyes
GCST000193		phenotype	red vs. non-red hair color
GCST000194		phenotype	blond vs. brown hair color
GCST000195		phenotype	skin sensitivity to sun
GCST000199		biomarker	tshb
GCST000200		response	iloperidone treatment (panss-t score)
GCST000201		side effect, phenotype	iloperidone for schizophrenia, qt prolongation
GCST000204		response	warfarin maintenance dose
GCST000208		response	thiazide diuretic
GCST000210		biomarker	icam-1
GCST000211		response	tnf antagonist treatment
GCST000212		phenotype	sarcoidosis
GCST000213		side effect	statin
GCST000222		biomarker	ige
GCST000227		biomarker	uric acid
GCST000228		biomarker	vitamin b12
GCST000229		phenotype	bone size (hip)
GCST000234		biomarker	ldl
GCST000236		phenotype	narcolepsy with cataplexy
GCST000239		phenotype	ischemic stroke
GCST000240		biomarker	hdl
GCST000241		biomarker	lipid traits
GCST000242		biomarker	urate
GCST000245		interaction	maternal expressed emotions
GCST000247		interaction	maternal expressed emotions
GCST000248		biomarker	alkaline phosphatase
GCST000248		biomarker	serum alanine aminotransferase
GCST000248		biomarker	serum gamma-glutamyl transferase
GCST000249		background	cutaneous
GCST000249		stratified	cutaneous
GCST000253		phenotype	attention deficit hyperactivity disorder and conduct disorder
GCST000261		phenotype	familial
GCST000264		phenotype	nicotine dependence
GCST000266		phenotype	severity
GCST000267		phenotype	age of onset
GCST000268		background, phenotype	multiple sclerosis, normalized brain volume
GCST000271		interaction, phenotype	dorsolateral prefrontal cortex, brain imaging
GCST000274		biomarker	acylcarnitine
GCST000274		biomarker	carbohydrate
GCST000274		biomarker	lipid metabolites
GCST000274		biomarker	lysine
GCST000274		biomarker	phenylalanine
GCST000274		biomarker	phospholipid
GCST000274		biomarker	serotonin
GCST000274		biomarker	sphingolipid
GCST000274		biomarker	tyrosine
GCST000278		phenotype	hyperactive-impulsive symptoms
GCST000279		phenotype	inattentive symptoms
GCST000280		phenotype	time to onset
GCST000282		biomarker	ldl
GCST000283		biomarker	ldl
GCST000284		biomarker	hdl
GCST000285		biomarker	total cholesterol
GCST000286		biomarker	triglyceride
GCST000287		biomarker	ldl
GCST000288		biomarker	hdl
GCST000289		biomarker	triglyceride
GCST000290		biomarker	hdl
GCST000292		biomarker	glucose
GCST000292		biomarker	insulin
GCST000292		biomarker	triglyceride
GCST000295		phenotype	spine bmd
GCST000297		phenotype	hip bmd
GCST000300		biomarker	triglyceride
GCST000301		biomarker	iron
GCST000302		biomarker	iron
GCST000303		biomarker	glycated hemoglobin levels
GCST000305		phenotype	mean platelet volume
GCST000308		phenotype	progression
GCST000312		biomarker	apolipoprotein a1 levels
GCST000316		biomarker	polyunsaturated fatty acid
GCST000319		biomarker	adipoq
GCST000323		response	antineoplastic agent
GCST000324		biomarker	carotenoid and tocopherol levels
GCST000327		phenotype	brachial circumference
GCST000327		phenotype	hip circumference
GCST000328		biomarker	alb
GCST000328		biomarker	fibrinogen
GCST000328		biomarker	hdl
GCST000328		biomarker	ldl
GCST000328		biomarker	total cholesterol
GCST000328		biomarker	triglyceride
GCST000328		biomarker	uric acid
GCST000330		phenotype	toluene diisocyanate-induced
GCST000331		biomarker	hdl
GCST000337		biomarker	c-reactive protein
GCST000337		biomarker	hdl
GCST000337		biomarker	ldl
GCST000337		biomarker	total cholesterol
GCST000337		biomarker	triglyceride
GCST000337		biomarker	tshb
GCST000337		phenotype	body fat distribution
GCST000339		phenotype	eosinophil count
GCST000340		phenotype	early onset
GCST000342		phenotype	mean platelet volume
GCST000344		phenotype	pr interval
GCST000344		phenotype	pr segment
GCST000344		phenotype	p wave duration
GCST000352		phenotype	lean body mass
GCST000353		phenotype	orofacial clefts
GCST000355		phenotype	age at onset
GCST000356		response	autoantibody against cyclic citrullinated peptide
GCST000358		biomarker	vitamin b
GCST000358		biomarker	vitamin b12
GCST000358		biomarker	vitamin b6
GCST000360		response	warfarin maintenance dose
GCST000362		phenotype	pulmonary function
GCST000363		phenotype	qt interval
GCST000364		phenotype	qt interval
GCST000366		biomarker	fibrinogen
GCST000367		biomarker	homocysteine
GCST000368		biomarker	fibrinogen
GCST000369		response	atorvastatin
GCST000370		phenotype	arterial stiffness
GCST000373		phenotype	ischemic stroke
GCST000377		biomarker	hdl
GCST000381		phenotype	heart rate
GCST000384		phenotype	high-risk
GCST000384		stratified	high-risk
GCST000385		phenotype	narcolepsy with cataplexy
GCST000386		biomarker	bilirubin
GCST000388		biomarker	bilirubin
GCST000390		phenotype	early onset
GCST000400		phenotype	age at onset
GCST000401		phenotype	age at onset
GCST000402		response	lithium treatment
GCST000403		phenotype	menarche and menopause (age at onset)
GCST000404		phenotype	age at onset
GCST000405		phenotype	age at onset
GCST000407		phenotype	left ventricular mass
GCST000409		phenotype	adipose tissue measurement
GCST000414	C563236	phenotype	testicular germ cell tumor
GCST000414	C563236	stratified	testicular germ cell tumor
GCST000415		side effect	flucloxacillin
GCST000416	C563236	phenotype	testicular germ cell tumor
GCST000416		stratified	Testicular Germ Cell Tumor (C563236)
GCST000418		biomarker	uric acid
GCST000423		biomarker	homocysteine
GCST000426		phenotype	extreme
GCST000430		biomarker	c-reactive protein
GCST000436		response	acenocoumarol maintenance dose
GCST000438		background	cutaneous
GCST000438		stratified	cutaneous
GCST000440		background	high-grade
GCST000440		stratified	high-grade
GCST000442		phenotype	aortic root size
GCST000443		phenotype	body mass index and fat mass
GCST000444		phenotype	qt interval
GCST000450		biomarker	matrix metalloproteinase
GCST000452		phenotype	qt interval
GCST000453		response	interferon beta for multiple sclerosis
GCST000458		phenotype	orofacial clefts
GCST000461		phenotype	hippocampal atrophy
GCST000462		response	antipsychotic
GCST000463		background	childhood
GCST000463		stratified	childhood
GCST000464		background	childhood
GCST000464		stratified	childhood
GCST000465		response	chronic hepatitis c infection
GCST000466		interaction or exposure	alcohol and smoking
GCST000467		response	clopidogrel therapy in healthy amish
GCST000468		phenotype	childhood onset
GCST000469		pleiotropy	osteoporosis
GCST000470		response	antidepressants
GCST000471		response	antidepressants
GCST000473		response	olanzapine
GCST000473		response	risperidone
GCST000473		response	ziprasidone
GCST000476		biomarker	e-selectin
GCST000482	C531617	interaction, phenotype	snp x snp, sporadic
GCST000483		biomarker	homocysteine
GCST000483		biomarker	vitamin b12
GCST000483		biomarker	vitamin b6
GCST000485		response	interferon-alpha and ribavirin therapy
GCST000486		response	pegylated interferon-alpha and ribavirin therapy
GCST000490		phenotype	age of onset
GCST000491		phenotype	pathological
GCST000492		background	dyslexia
GCST000493		biomarker	sphingolipid
GCST000494		phenotype	spine bmd
GCST000495		phenotype	hip bmd
GCST000497		phenotype	mean platelet volume
GCST000498		phenotype	mean corpuscular hemoglobin
GCST000498		phenotype	mean corpuscular volume
GCST000499		biomarker	hemoglobin
GCST000500		phenotype	mean corpuscular hemoglobin concentration
GCST000501		biomarker	hemoglobin
GCST000503		phenotype	mean corpuscular volume
GCST000504		phenotype	mean corpuscular hemoglobin
GCST000505		biomarker	iron
GCST000509		response	citalopram
GCST000510		phenotype	mean corpuscular hemoglobin
GCST000510		phenotype	mean corpuscular volume
GCST000513		phenotype	severity
GCST000514		side effect	antipsychotic for schizophrenia
GCST000516		biomarker	glycated hemoglobin levels
GCST000517		biomarker	iron
GCST000519		phenotype	hair morphology
GCST000523		drug metabolism	methotrexate for acute lymphoblastic leukemia
GCST000524		phenotype	mathematical ability
GCST000526		biomarker	insulin
GCST000531		phenotype	early onset
GCST000533		phenotype	lipid metabolism phenotypes
GCST000537		biomarker	adipoq
GCST000538		biomarker	adipoq
GCST000541		phenotype	femoral neck bone geometry
GCST000542		phenotype	pulmonary function
GCST000543		phenotype	social and non-social autistic-like traits
GCST000544		phenotype	pulmonary function
GCST000545		biomarker	fetal hemoglobin
GCST000547		phenotype	orofacial clefts
GCST000550		biomarker	metabolite
GCST000551		phenotype	broad
GCST000553		biomarker	cd4:cd8 lymphocyte ratio
GCST000554		phenotype	subclinical
GCST000555		background	hiv infection
GCST000556		phenotype	functional mri
GCST000559		biomarker	total cholesterol
GCST000561		phenotype	heart rate
GCST000561		phenotype	pr interval
GCST000561		phenotype	qrs complex
GCST000561		phenotype	qrs duration
GCST000561		phenotype	qt interval
GCST000562		phenotype	pr interval
GCST000564		phenotype	pr interval
GCST000564		phenotype	qt interval
GCST000565		biomarker	angiotensin-converting enzyme
GCST000570		phenotype	major mood disorders
GCST000571		biomarker	fasting blood insulin
GCST000575		phenotype	related phenotypes
GCST000577		phenotype	severity
GCST000581		biomarker	urate
GCST000582		biomarker	mean corpuscular hemoglobin concentration
GCST000583		biomarker	alb
GCST000583		biomarker	alkaline phosphatase
GCST000583		biomarker	alkaline phosphatase, uric acid
GCST000583		biomarker	aspartate aminotransferase
GCST000583		biomarker	creatine kinase
GCST000583		biomarker	creatinine
GCST000583		biomarker	gamma-glutamyl transferase
GCST000583		biomarker	gpt
GCST000583		biomarker	hdl
GCST000583		biomarker	hemoglobin
GCST000583		biomarker	protein
GCST000583		biomarker	uric acid
GCST000584		biomarker	triglyceride
GCST000585		phenotype	mean corpuscular volume
GCST000587		biomarker	mean corpuscular hemoglobin
GCST000590		biomarker	interleukin 18
GCST000594		biomarker	homocysteine
GCST000596		phenotype	progression
GCST000597		phenotype	brain structure
GCST000599		biomarker	icam1
GCST000599		biomarker	p-selectin
GCST000600		phenotype	neutrophil count
GCST000605		biomarker	leptin receptor
GCST000606		biomarker	e-selectin
GCST000608		background	childhood
GCST000609		phenotype	primary tooth development (time to first tooth eruption)
GCST000610		phenotype	primary tooth development (number of teeth)
GCST000613		phenotype	hiv mother to child transmission
GCST000614		phenotype	temporal lobe volume
GCST000615		phenotype	brain structure (hippocampal volume)
GCST000618		side effect	clozapine for schizophrenia, metabolic side effects
GCST000618		side effect	olanzapine for schizophrenia, metabolic side effects
GCST000618		side effect	perphenazine for schizophrenia, metabolic side effects
GCST000618		side effect	quetiapine for schizophrenia, metabolic side effects
GCST000618		side effect	risperidone for schizophrenia, metabolic side effects
GCST000618		side effect	ziprasidone for schizophrenia, metabolic side effects
GCST000620		phenotype	pediatric
GCST000621		biomarker	c4b binding protein levels
GCST000622		biomarker	creatinine
GCST000625		biomarker	factor vii
GCST000626		biomarker	factor viii
GCST000627		biomarker	vwf
GCST000628		biomarker	chemerin
GCST000630		phenotype	digit length ratio
GCST000631		phenotype	partial thromboplastin time
GCST000634		phenotype	cognitive ability
GCST000635		response	statin
GCST000636		phenotype	prefrontal cortex cytoarchtiecture
GCST000637		phenotype	prognosis
GCST000640		interaction or exposure	radiation-related
GCST000641		background	bipolar disorder
GCST000643		response	antidepressants
GCST000647		biomarker	total cholesterol
GCST000649		biomarker	cystatin c
GCST000649		biomarker	serum creatinine
GCST000651		biomarker	creatinine
GCST000655		phenotype	optic cup-to-disc ratio
GCST000656		phenotype	setpoint viral load
GCST000657		phenotype	optic disc area
GCST000658		phenotype	rim area
GCST000659		phenotype	optic cup area
GCST000661		phenotype	mortality
GCST000663		phenotype	early onset extreme
GCST000664		biomarker	vitamin d
GCST000671		biomarker	lppla2
GCST000683		phenotype	central corneal thickness
GCST000688		response	platinum-based chemotherapy
GCST000693		phenotype	platelet aggregation
GCST000694		biomarker	phytosterol
GCST000695		background	bipolar disorder
GCST000696		phenotype	non-diabetic
GCST000698		phenotype	related phenotypes
GCST000699		phenotype	optic disc parameters
GCST000700		phenotype	vertical cup-disc ratio
GCST000701	C563236	phenotype	testicular germ cell tumor
GCST000701		stratified	Testicular Germ Cell Tumor (C563236)
GCST000703		biomarker	phosphorus
GCST000704		biomarker	hemoglobin
GCST000706		phenotype	attached earlobe
GCST000706		phenotype	braces
GCST000706		phenotype	common traits (other)
GCST000707		phenotype	hair color
GCST000711		biomarker	vitamin d
GCST000715		side effect	peg-asparaginase for acute lymphoblastic leukemia
GCST000717		background	type 2 diabetes
GCST000724		interaction	age
GCST000729		side effect	ribavirin
GCST000730		biomarker	bilirubin
GCST000731		phenotype	resting heart rate
GCST000735		side effect	lumiracoxib
GCST000736		biomarker	calcium level
GCST000737		biomarker	triglyceride
GCST000738		background	neonatal
GCST000739		phenotype	serologic markers
GCST000742		biomarker	serum creatinine
GCST000746		phenotype	bitter
GCST000748		response	anti-tnf alpha
GCST000749		background	childhood
GCST000753		biomarker	hdl
GCST000753		phenotype	metabolic syndrome
GCST000755		biomarker	hdl
GCST000756		biomarker	magnesium
GCST000758		biomarker	triglyceride
GCST000759		biomarker	ldl
GCST000760		biomarker	total cholesterol
GCST000763		biomarker	protein
GCST000765		biomarker	gpt
GCST000765		phenotype	histology (other)
GCST000766		phenotype	histology (lobular)
GCST000767		phenotype	histology (ast)
GCST000769		biomarker	calcium level
GCST000771		phenotype	narcolepsy with cataplexy
GCST000774		phenotype	schizophrenia, bipolar disorder and depression (combined)
GCST000775		phenotype	central corneal thickness
GCST000777		multiple disease	gastric adenocarcinoma
GCST000777		phenotype	esophageal cancer and gastric cancer
GCST000777		pleiotropy	gastric cancer
GCST000780		biomarker	protein c
GCST000783		biomarker	brian glutamate
GCST000784		phenotype	pseudoexfoliation syndrome
GCST000789		interaction, phenotype	age, multiple
GCST000791		phenotype	thyroid function
GCST000792		response	warfarin maintenance dose
GCST000798		biomarker	glycated hemoglobin levels
GCST000801		background	hormone-receptor negative
GCST000801		stratified	hormone-receptor negative
GCST000803		biomarker	glycated hemoglobin levels
GCST000805		biomarker	hdl
GCST000807		biomarker	ldl
GCST000808		phenotype	late onset
GCST000809		biomarker	triglyceride
GCST000812		biomarker	adipoq
GCST000813		side effect	aromatase inhibitors for early breast cancer
GCST000814		phenotype	mean corpuscular hemoglobin
GCST000814		phenotype	mean corpuscular hemoglobin concentration
GCST000814		phenotype	mean corpuscular volume
GCST000818		biomarker	urate
GCST000818		phenotype	urate levels
GCST000821		phenotype	bipolar disorder and schizophrenia
GCST000822		side effect, phenotype	quetiapine, interval prolongation
GCST000822		side effect, phenotype	risperidone, interval prolongation
GCST000823		response	radiation
GCST000824		side effect	radiotherapy for prostate cancer
GCST000824		treatment side effect	prostate cancer - radiotherapy (erectile dysfunction)
GCST000825		biomarker	cerebrospinal p-tau181p levels
GCST000826		biomarker	t-tau (csf)
GCST000827		biomarker	cerebrospinal fluid ab1-42 levels
GCST000828		biomarker	adipoq
GCST000831		background	schizophrenia
GCST000844		phenotype	survival time
GCST000845		background	males
GCST000846		background	brca2 mutation carriers
GCST000846		stratified	BRCA2 positive
GCST000847		phenotype	retinal vascular caliber
GCST000848		background	females
GCST000850		background	chronic obstructive pulmonary disease
GCST000852		phenotype	atrioventricular conduction
GCST000857		phenotype	event-related brain oscillation
GCST000862		phenotype	bipolar disorder and schizophrenia
GCST000865		response	etanercept (anti-tnf)
GCST000866		biomarker	ldl
GCST000867		background	estrogen-receptor negative
GCST000868		biomarker	handedness
GCST000871		phenotype	survival
GCST000871		treatment response	carboplatin and paclitaxel
GCST000872		phenotype	qrs duration
GCST000876		biomarker	amyloid a protein
GCST000878		phenotype	pathological
GCST000880		phenotype	age at onset
GCST000882		response, phenotype	bleomycin, chromatid breaks
GCST000883		response, phenotype	antipsychotic for schizophrenia, short-term memory
GCST000884		response	antipsychotic
GCST000885		response	antipsychotic, reasoning
GCST000889		interaction	cortical thickness
GCST000890		phenotype	hippocampal volume
GCST000891		phenotype	whole-brain volume
GCST000892		interaction	brain volume
GCST000893		interaction	entorhinal cortical volume
GCST000894		phenotype	cortical thickness
GCST000895		interaction	whole-brain volume
GCST000896		phenotype	survival
GCST000896		survival	
GCST000897		interaction	hippocampal volume
GCST000898		phenotype	total ventricular volume
GCST000899		phenotype	entorhinal cortical volume
GCST000900		biomarker	beta-amyloid 1-42
GCST000900		biomarker	beta-amyloid 1-42 measurement, t-tau measurement
GCST000900		biomarker	p-tau measurement, beta-amyloid 1-42 measurement, t-tau measurement
GCST000900		biomarker	t-tau
GCST000903		side effect	methylphenidate for attention-deficit/hyperactivity disorder
GCST000905		phenotype	information processing speed
GCST000908		background	ileal
GCST000908		stratified	ileal
GCST000911		biomarker	progranulin
GCST000912		side effect	carbamazepine
GCST000913		biomarker	ferritin
GCST000913		biomarker	tfrc, soluble, iron
GCST000918		phenotype	susceptibility
GCST000919		biomarker	
GCST000922		phenotype	openness
GCST000924		side effect	acetaminophen
GCST000925		biomarker	n-glycan
GCST000926		phenotype	maximal oxygen uptake response
GCST000927		response	metformin
GCST000928		interaction	sex
GCST000930		interaction	sex
GCST000931		interaction	sex
GCST000933		biomarker	c-reactive protein
GCST000934		interaction, pleiotropy	farm exposure, atopy
GCST000935		biomarker	ferritin
GCST000935		biomarker	iron
GCST000935		biomarker	tf (transferrin)
GCST000936		phenotype	left ventricular hypertrophy
GCST000937		biomarker	igf-1
GCST000937		biomarker	igfbp-3
GCST000938		phenotype	adolescent idiopathic
GCST000941		phenotype	ischemic stroke
GCST000942		side effect	drug-induced
GCST000943		phenotype	aortic root size
GCST000944		response	chronic hepatitis c infection
GCST000946		background	coronary artery disease
GCST000947		phenotype	clinical stage
GCST000948		stratified	distal
GCST000953		side effect	lapatinib in breat canacer
GCST000955		background	crohn's disease
GCST000957		biomarker	nt-probnp
GCST000963		biomarker	uric acid
GCST000965		biomarker	c-reactive protein
GCST000967		response	platinum-based chemotherapy
GCST000968		response	platinum-based chemotherapy
GCST000969		phenotype	psychotic symptoms
GCST000969		phenotype	psychotic symptoms, age of onset
GCST000970		phenotype	optic disc area
GCST000971		phenotype	pr interval
GCST000974		biomarker	hdl
GCST000975		biomarker	ldl
GCST000978		biomarker	cortisol secretion
GCST000979		phenotype	childhood onset
GCST000980		phenotype	late onset
GCST000982		biomarker	f-cell distribution
GCST000983		biomarker	slc6a4
GCST000986		phenotype	late onset
GCST000987		phenotype	celiac disease or rheumatoid arthritis
GCST000991		phenotype	language delay
GCST000992		phenotype	coffee consumption
GCST000995		background	bipolar disorder
GCST001002		side effect	cerivastatin
GCST001004		biomarker	blood pressure, triglycerides
GCST001005		biomarker	hdl, triglyceride
GCST001006		phenotype, biomarker	waist circumference, triglycerides
GCST001011		phenotype	oral cavity and pharyngeal cancer
GCST001014		side effect	carbamazepine
GCST001015		background	bipolar disorder
GCST001016		side effect	vaccine
GCST001018		phenotype	acquired
GCST001021		biomarker	ferritin
GCST001021		biomarker	iron
GCST001021		biomarker	total iron binding capacity
GCST001021		biomarker	transferrin saturation
GCST001026		phenotype	late onset
GCST001027		phenotype	uterine fibroid
GCST001030		phenotype	motor coordination
GCST001031		phenotype	large
GCST001032		phenotype	caffeine consumption
GCST001034		background	cutaneous
GCST001034		stratified	cutaneous
GCST001035		response	platinum-based chemotherapy
GCST001035		treatment response	platinum-based chemotherapy
GCST001036		side effect	amoxicillin-clavulanate
GCST001037		phenotype	neurocognition, neuranatomic
GCST001038		biomarker	dehydroepiandrosterone sulphate
GCST001043		response	interferon beta for multiple sclerosis
GCST001044		phenotype	pathological
GCST001045		phenotype	caudate nucleus volume
GCST001047		biomarker	icam-1
GCST001048		phenotype	monocyte early outgrowth colony forming unit
GCST001049		biomarker	d-dimer
GCST001052		phenotype	heaviness of drinking
GCST001053		phenotype	alcohol use disorder factor score
GCST001054		phenotype	alcohol dependence factor score
GCST001055		phenotype	12-month weekly alcohol consumption
GCST001059		phenotype	neutrophil count
GCST001060		phenotype	progression
GCST001065		phenotype	platelet function and related traits
GCST001067	C563236	phenotype	testicular germ cell tumor
GCST001067		stratified	Testicular Germ Cell Tumor (C563236)
GCST001069		phenotype	thyroid volume
GCST001073		biomarker	urinary metabolite
GCST001076		side effect	ifn
GCST001082		interaction	alcohol consumption
GCST001084		interaction	snp x snp
GCST001085		interaction	snp x snp
GCST001088		phenotype	pathological
GCST001091		biomarker	bilirubin
GCST001093		biomarker	c-reactive protein
GCST001094		side effect	pegylated interferon and ribavirin for hepatitis c
GCST001095		response	chemotherapeutic susceptibility
GCST001098		phenotype	peripartum cardiomyopathy
GCST001101		phenotype	corneal curvature
GCST001103		phenotype	transferrin glycosylation
GCST001108		background	chronic obstructive pulmonary disease
GCST001109		phenotype	white matter hyperintensity burden
GCST001111		background	chronic obstructive pulmonary disease
GCST001112		background	chronic obstructive pulmonary disease
GCST001113		background	chronic obstructive pulmonary disease
GCST001114		interaction, phenotype	sex, age at onset
GCST001115		phenotype	age at onset
GCST001117		phenotype	childhood onset
GCST001118		phenotype	ulcerative colitis or crohn's disease
GCST001122		biomarker	adipoq
GCST001127		response	oxaliplatin
GCST001134		phenotype	eosinophil count
GCST001134		phenotype	monocyte count
GCST001134		phenotype	neutrophil count
GCST001137		phenotype	monocyte count
GCST001137		phenotype	neutrophil count
GCST001142		biomarker	vitamin e
GCST001143		biomarker	hdl
GCST001145		response	chemotherapeutic susceptibility
GCST001155		biomarker	vegfa
GCST001157		phenotype	risk factors
GCST001158		biomarker	fibrinogen
GCST001162		response	hepatitis b vaccine
GCST001163		biomarker	urate
GCST001165		biomarker	adipoq
GCST001166		phenotype	time to event
GCST001167		phenotype	time to death
GCST001169		response	platinum-based chemotherapy
GCST001170		biomarker	lipid traits
GCST001171		phenotype	progression
GCST001174		biomarker	hepicidin
GCST001175		side effect	epirubicin-induced
GCST001177		biomarker	omega-3 pufa (docosahexaenoic acid)
GCST001178		biomarker	omega-3 pufa (eicosapentaenoic acid)
GCST001179		biomarker	omega-3 pufa (docosapentaenoic acid)
GCST001180		biomarker	omega-3 pufa (alphalinolenic acid)
GCST001181		side effect	drug-induced
GCST001186		side effect, phenotype	nevirapine, rash
GCST001187		phenotype	cortical thickness
GCST001188		biomarker	factor viii measurement, coagulation factor measurement
GCST001188		biomarker	vwf, coagulation factor
GCST001192		side effect	atorvastatin
GCST001201		response	cisplatin
GCST001204		response	carboplatin
GCST001205		interaction	coffee consumption
GCST001206		interaction	snp x snp
GCST001207	C537417	biomarker	butyrylcholinesterase
GCST001212		biomarker	insulin
GCST001215		phenotype	coffee consumption
GCST001216		biomarker	vitamin a
GCST001217		biomarker	metabolite
GCST001218		biomarker	apolipoprotein a1 levels
GCST001220		biomarker	metabolite
GCST001221		phenotype	permanent tooth development
GCST001222		biomarker	aspartate aminotransferase
GCST001225		phenotype	seropositive for hpv
GCST001230		biomarker	triglyceride
GCST001231		phenotype	intima media thickness
GCST001233		biomarker	alb
GCST001233		biomarker	gpt
GCST001233		biomarker	ldl
GCST001233		biomarker	uric acid
GCST001234		biomarker	gamma-glutamyl transferase
GCST001235		phenotype	pulse pressure
GCST001236		phenotype	mean arterial pressure
GCST001237		biomarker	hdl
GCST001239		side effect	drug-induced
GCST001240		phenotype	extreme
GCST001247		biomarker	aspartate aminotransferase
GCST001247		biomarker	c-reactive protein
GCST001247		biomarker	ferritin
GCST001247		biomarker	gamma-glutamyl transferase
GCST001247		biomarker	hdl
