Disease_Trait	MeshId	MeshTerm
acute ischemic stroke x type 2 diabetes interaction	D000083242	Ischemic Stroke
acute kidney injury	D058186	Acute Kidney Injury
acute kidney injury in coronary artery bypass surgery (creatinine rise)	D001026	Coronary Artery Bypass
acute kidney injury in critical illness	D058186	Acute Kidney Injury
acute lung injury	D055371	Acute Lung Injury
acute lymphoblastic leukemia (adolescents and young adults)	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
acute lymphoblastic leukemia (adult)	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
acute lymphoblastic leukemia (adult vs childhood)	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
acute lymphoblastic leukemia (b-cell precursor)	D015452	Precursor B-Cell Lymphoblastic Leukemia-Lymphoma
acute lymphoblastic leukemia (childhood)	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
acute lymphoblastic leukemia	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
acute lymphoblastic leukemia in childhood (b cell precursor)	D015452	Precursor B-Cell Lymphoblastic Leukemia-Lymphoma
acute mountain sickness	D000532	Altitude Sickness
acute myeloid leukemia	D015470	Leukemia, Myeloid, Acute
acute-on-chronic liver failure	D065290	Acute-On-Chronic Liver Failure
acute-on-chronic liver failure in hepatitis b	D065290	Acute-On-Chronic Liver Failure
acute post-radiotherapy pain in breast cancer	D010146	Pain
acute respiratory distress syndrome	D012128	Respiratory Distress Syndrome
acute respiratory distress syndrome in sepsis	D012128	Respiratory Distress Syndrome
acute urticaria and angioedema (non-steroidal anti-inflammatory drug-induced)	D014581	Urticaria
acylcarnitine levels	D015415	Biomarkers
adamts13 activity	D015415	Biomarkers
adamts13 levels	D015415	Biomarkers
addiction	D019966	Substance-Related Disorders
addison disease	D000224	Addison Disease
addison's disease	D000224	Addison Disease
adenine levels	D015415	Biomarkers
adenocarcinoma	D000230	Adenocarcinoma
adenocarcinoma in never smokers	D000077192	Adenocarcinoma of Lung
adenosine 3',5'-cyclic monophosphate (camp) levels	D015415	Biomarkers
adenosine deaminase levels	D000243	Adenosine Deaminase
adhd vs anorexia nervosa (ordinary least squares (ols))	D000856	Anorexia Nervosa
adhd vs autism spectrum disorder (ordinary least squares (ols))	D001289	Attention Deficit Disorder with Hyperactivity
adhd vs obsessive compulsive disorder (ordinary least squares (ols))	D009771	Obsessive-Compulsive Disorder
adhd vs tourette's syndrome and other tic disorders (ordinary least squares (ols))	D001289	Attention Deficit Disorder with Hyperactivity
adherence to a japanese dietary pattern	D066273	Diet, Western
adhesion g protein-coupled receptor e2 levels	D042643	Vascular Endothelial Growth Factor D
adhesion g-protein coupled receptor g2 levels	D042643	Vascular Endothelial Growth Factor D
adiponectin levels (bmi-adjusted)	D009765	Obesity
adiponectin levels	D008659	Metabolic Diseases
adiponectin levels (fat percentage adjusted)	D008659	Metabolic Diseases
adiponectin levels in pregnancy	D008659	Metabolic Diseases
adiponectin levels in type 2 diabetes	D008659	Metabolic Diseases
adiponectin levels x mediterranean diet adherence interaction	D015014	Yogurt
adipose morphology	D009765	Obesity
adiposity	D050154	Adiposity
a disintegrin and metalloproteinase with thrombospondin motifs 13 levels	D042643	Vascular Endothelial Growth Factor D
adolescent idiopathic scoliosis (cobb angle)	D012600	Scoliosis
adolescent idiopathic scoliosis	D012600	Scoliosis
adolescent idiopathic scoliosis (severe)	D012600	Scoliosis
adrenomedullin levels	D053607	Adrenomedullin
adult antisocial behavior	D000987	Antisocial Personality Disorder
adult asthma	D001249	Asthma
adult body size	D001827	Body Height
adult diffuse glioma (idh and tert mutations)	D005910	Glioma
adult diffuse glioma (idh mutation, 1p/19q codeletion)	D005910	Glioma
adult diffuse glioma (idh mutation, 1p/19q non-codeleted)	D005910	Glioma
adult diffuse glioma (idh mutation)	D005910	Glioma
adult diffuse glioma (idh mutation only)	D005910	Glioma
adult diffuse glioma (idh wildtype)	D005910	Glioma
adult diffuse glioma (tert mutation only)	D005910	Glioma
adult diffuse triple negative glioma (idh and tert wildtype, 1p/19q non-codeleted)	D005910	Glioma
adult diffuse triple positive glioma (idh and tert mutations, 1p19q codeletion)	D005910	Glioma
adult hearing aid use	D034381	Hearing Loss
adult hearing difficulty	D034381	Hearing Loss
adult onset asthma and/or bmi	D015992	Body Mass Index
adult onset asthma and/or waist-to-hip ratio adjusted for bmi	D056128	Obesity, Abdominal
adult onset asthma in ever-smokers	D001249	Asthma
adult onset asthma in non-smokers	D001249	Asthma
adult onset asthma or fasting glucose levels	D001249	Asthma
adult onset asthma or fasting insulin levels	D001249	Asthma
adult onset asthma or type 2 diabetes	D001249	Asthma
adult onset asthma (smoking interaction)	D001249	Asthma
adult onset still's disease	D016706	Still's Disease, Adult-Onset
advanced age-related macular degeneration	D008268	Macular Degeneration
advanced glycation end-product levels	D015415	Biomarkers
adventurousness	D012309	Risk-Taking
adverse response to antithyroid drugs in graves disease	D006111	Graves Disease
adverse response to aromatase inhibitors	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to carbamazepine	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to chemotherapy (amenorrhea) in breast cancer	D000568	Amenorrhea
adverse response to chemotherapy (congestive heart failure) in breast cancer	D006333	Heart Failure
adverse response to chemotherapy (fluoropyrimidines)	D004305	Dose-Response Relationship, Drug
adverse response to chemotherapy in breast cancer (alopecia) (anti-microtubule)	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to chemotherapy in breast cancer (alopecia) (cyclophosphamide+doxorubicin+/-5fu)	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to chemotherapy in breast cancer (alopecia) (cyclophosphamide+epirubicin+/-5fu)	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to chemotherapy in breast cancer (alopecia)	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to chemotherapy in breast cancer (alopecia) (docetaxel)	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to chemotherapy in breast cancer (alopecia) (paclitaxel)	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to chemotherapy in colorectal cancer (folfox,cetuximab) (diarrhoea)	D003967	Diarrhea
adverse response to chemotherapy in colorectal cancer (folfox,cetuximab) (hand foot syndrome)	D060831	Hand-Foot Syndrome
adverse response to chemotherapy in colorectal cancer (folfox,cetuximab) (lethargy)	D000077260	Sleepiness
adverse response to chemotherapy in colorectal cancer (folfox,cetuximab) (nausea)	D009325	Nausea
adverse response to chemotherapy in colorectal cancer (folfox,cetuximab) (neutropenia)	D009503	Neutropenia
adverse response to chemotherapy in colorectal cancer (folfox,cetuximab) (peripheral neuropathy)	D010523	Peripheral Nervous System Diseases
adverse response to chemotherapy in colorectal cancer (folfox,cetuximab) (rash)	D005076	Exanthema
adverse response to chemotherapy in colorectal cancer (folfox,cetuximab) (sepsis)	D018805	Sepsis
adverse response to chemotherapy in colorectal cancer (folfox,cetuximab) (stomatitis)	D013280	Stomatitis
adverse response to chemotherapy in colorectal cancer (folfox,cetuximab) (vomiting)	D014839	Vomiting
adverse response to chemotherapy in colorectal cancer (folfox) (diarrhoea)	D003967	Diarrhea
adverse response to chemotherapy in colorectal cancer (folfox) (hand foot syndrome)	D060831	Hand-Foot Syndrome
adverse response to chemotherapy in colorectal cancer (folfox) (lethargy)	D000077260	Sleepiness
adverse response to chemotherapy in colorectal cancer (folfox) (nausea)	D009325	Nausea
adverse response to chemotherapy in colorectal cancer (folfox) (neutropenia)	D009503	Neutropenia
adverse response to chemotherapy in colorectal cancer (folfox) (peripheral neuropathy)	D010523	Peripheral Nervous System Diseases
adverse response to chemotherapy in colorectal cancer (folfox) (sepsis)	D018805	Sepsis
adverse response to chemotherapy in colorectal cancer (folfox) (stomatitis)	D013280	Stomatitis
adverse response to chemotherapy in colorectal cancer (folfox) (vomiting)	D014839	Vomiting
adverse response to chemotherapy in colorectal cancer (xelox,cetuximab) (diarrhoea)	D003967	Diarrhea
adverse response to chemotherapy in colorectal cancer (xelox,cetuximab) (hand foot syndrome)	D060831	Hand-Foot Syndrome
adverse response to chemotherapy in colorectal cancer (xelox,cetuximab) (lethargy)	D000077260	Sleepiness
adverse response to chemotherapy in colorectal cancer (xelox,cetuximab) (nausea)	D009325	Nausea
adverse response to chemotherapy in colorectal cancer (xelox,cetuximab) (neutropenia)	D009503	Neutropenia
adverse response to chemotherapy in colorectal cancer (xelox,cetuximab) (peripheral neuropathy)	D010523	Peripheral Nervous System Diseases
adverse response to chemotherapy in colorectal cancer (xelox, cetuximab) (rash)	D005076	Exanthema
adverse response to chemotherapy in colorectal cancer (xelox,cetuximab) (stomatitis)	D013280	Stomatitis
adverse response to chemotherapy in colorectal cancer (xelox,cetuximab) (vomiting)	D014839	Vomiting
adverse response to chemotherapy in colorectal cancer (xelox) (diarrhoea)	D003967	Diarrhea
adverse response to chemotherapy in colorectal cancer (xelox) (hand foot syndrome)	D060831	Hand-Foot Syndrome
adverse response to chemotherapy in colorectal cancer (xelox) (lethargy)	D000077260	Sleepiness
adverse response to chemotherapy in colorectal cancer (xelox) (nausea)	D009325	Nausea
adverse response to chemotherapy in colorectal cancer (xelox) (neutropenia)	D009503	Neutropenia
adverse response to chemotherapy in colorectal cancer (xelox) (peripheral neuropathy)	D010523	Peripheral Nervous System Diseases
adverse response to chemotherapy in colorectal cancer (xelox) (rash)	D005076	Exanthema
adverse response to chemotherapy in colorectal cancer (xelox) (stomatitis)	D013280	Stomatitis
adverse response to chemotherapy in colorectal cancer (xelox) (vomiting)	D014839	Vomiting
adverse response to chemotherapy (neutropenia/leucopenia) (5-fluorouracil)	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to chemotherapy (neutropenia/leucopenia) (all anthracycline-based drugs)	D020127	Recovery of Function
adverse response to chemotherapy (neutropenia/leucopenia) (all antimetabolite drugs)	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to chemotherapy (neutropenia/leucopenia) (all antimicrotubule drugs)	D020127	Recovery of Function
adverse response to chemotherapy (neutropenia/leucopenia) (all platinum-based drugs)	D020127	Recovery of Function
adverse response to chemotherapy (neutropenia/leucopenia) (all topoisomerase inhibitors)	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to chemotherapy (neutropenia/leucopenia) (camptothecin)	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to chemotherapy (neutropenia/leucopenia) (carboplatin)	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to chemotherapy (neutropenia/leucopenia) (cisplatin)	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to chemotherapy (neutropenia/leucopenia) (cyclophosphamide)	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to chemotherapy (neutropenia/leucopenia) (docetaxel)	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to chemotherapy (neutropenia/leucopenia) (doxorubicin)	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to chemotherapy (neutropenia/leucopenia) (epirubicin)	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to chemotherapy (neutropenia/leucopenia) (etoposide)	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to chemotherapy (neutropenia/leucopenia) (gemcitabine)	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to chemotherapy (neutropenia/leucopenia) (paclitaxel + carboplatin)	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to chemotherapy (neutropenia/leucopenia) (paclitaxel)	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to dabrafenib or dabrafenib-trametinib treatment in melanoma (pyrexia)	D005334	Fever
adverse response to drug	D004305	Dose-Response Relationship, Drug
adverse response to lamotrigine and phenytoin	D064420	Drug-Related Side Effects and Adverse Reactions
adverse response to radiation therapy	D064420	Drug-Related Side Effects and Adverse Reactions
aerodigestive squamous cell cancer (pleiotropy)	D006258	Head and Neck Neoplasms
affective disorder and suicide attempts	D013406	Suicide, Attempted
age at adiposity peak	D009765	Obesity
age at adiposity rebound	D009765	Obesity
age at death	D003643	Death
age at first birth	D008423	Maternal Age
age at first birth in continuous marriage	D008423	Maternal Age
age at first sexual intercourse	D012725	Sexual Behavior
age at last pregnancy	D011247	Pregnancy
age at last pregnancy in continuous marriage	D011247	Pregnancy
age at loss of ambulation in duchenne muscular dystrophy	D020388	Muscular Dystrophy, Duchenne
age at menopause	D008594	Menopause, Premature
age at smoking initiation in chronic obstructive pulmonary disease	D029424	Pulmonary Disease, Chronic Obstructive
age at suicide	D016728	Self-Injurious Behavior
age at voice drop	D011627	Puberty
age of smoking initiation	D017668	Age of Onset
age of smoking initiation (mtag)	D012907	Smoking
age-related cataracts (age at onset)	D017668	Age of Onset
age-related cataracts	D002386	Cataract
age-related cognitive decline (attention/processing speed) (slope of z-scores)	D060825	Cognitive Dysfunction
age-related cognitive decline (executive function) (slope of z-scores)	D060825	Cognitive Dysfunction
age-related cognitive decline (global cognition) (slope of z-scores)	D060825	Cognitive Dysfunction
age-related cognitive decline (language) (slope of z-scores)	D060825	Cognitive Dysfunction
age-related cognitive decline (memory) (slope of z-scores)	D060825	Cognitive Dysfunction
age-related cognitive decline (visuospatial skill) (slope of z-scores)	D060825	Cognitive Dysfunction
age-related disease endophenotypes	D000375	Aging
age-related diseases and mortality	D000375	Aging
age-related diseases, mortality and associated endophenotypes	D000375	Aging
age-related hearing impairment	D034381	Hearing Loss
age-related hearing impairment (high frequency)	D034381	Hearing Loss
age-related hearing impairment (high minus low frequency)	D034381	Hearing Loss
age-related hearing impairment (low/mid frequency)	D034381	Hearing Loss
age-related hearing impairment (mtag)	D034381	Hearing Loss
age-related hearing impairment (snp x snp interaction)	D034381	Hearing Loss
age-related macular degeneration (choroidal neovascularisation)	D057135	Wet Macular Degeneration
age-related macular degeneration (cnv vs. ga)	D057092	Geographic Atrophy
age-related macular degeneration	D008268	Macular Degeneration
age-related macular degeneration (extreme sampling)	D008268	Macular Degeneration
age-related macular degeneration (geographic atrophy)	D057092	Geographic Atrophy
age-related macular degeneration (mtag)	D008268	Macular Degeneration
age-related macular degeneration (smoking status interaction)	D008268	Macular Degeneration
age-related macular degeneration (snp x mitochondrial a4917g interaction)	D008268	Macular Degeneration
age-related macular degeneration (snp x mitochondrial c16069t interaction)	D008268	Macular Degeneration
age-related macular degeneration (snp x mitochondrial g12771a interaction)	D008268	Macular Degeneration
age-related macular degeneration (snp x mitochondrial t5004c interaction)	D008268	Macular Degeneration
age-related macular degeneration (wet)	D008268	Macular Degeneration
age-related nuclear cataracts	D002386	Cataract
age spots	D012880	Skin Pigmentation
aggression against property in schizophrenia	D000374	Aggression
aggressiveness in attention deficit hyperactivity disorder	D001289	Attention Deficit Disorder with Hyperactivity
aggressive periodontitis	D010520	Aggressive Periodontitis
aggressive periodontitis (sex interaction)	D010518	Periodontitis
aggressive prostate cancer	D011471	Prostatic Neoplasms
aging	D000375	Aging
aging (facial)	D015595	Skin Aging
aging (time to death)	D008136	Longevity
aging (time to event)	D000375	Aging
aging traits	D000375	Aging
aging traits (healthspan, parental lifespan or longevity) (multivariate analysis)	D008136	Longevity
agoraphobic traits	D000379	Agoraphobia
agouti-related protein levels	D054369	Agouti-Related Protein
agreeableness	D012925	Social Conformity
aids	D000163	Acquired Immunodeficiency Syndrome
aids progression	D000163	Acquired Immunodeficiency Syndrome
airflow obstruction	D012129	Respiratory Function Tests
airflow obstruction in ever smokers	D012129	Respiratory Function Tests
airway hyperresponsiveness	D012130	Respiratory Hypersensitivity
airway imaging phenotypes	D000402	Airway Obstruction
airway obstruction (fev1/fvc<70%) in ever smokers	D012129	Respiratory Function Tests
airway obstruction (fev1/fvc<70%) in never smokers	D012129	Respiratory Function Tests
airway obstruction (fev1/fvc<lower limit of normal) in ever smokers	D012129	Respiratory Function Tests
airway obstruction (fev1/fvc<lower limit of normal) in never smokers	D012129	Respiratory Function Tests
airway responsiveness in chronic obstructive pulmonary disease	D012130	Respiratory Hypersensitivity
airway wall thickness	D056151	Airway Remodeling
alanine aminotransferase (alt) levels after remission induction therapy in actute lymphoblastic leukemia (all)	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
alanine aminotransferase levels	D008107	Liver Diseases
alanine aminotransferase levels in excessive alcohol consumption	D015415	Biomarkers
alanine aminotransferase levels in low alcohol consumption	D015415	Biomarkers
alanine aminotransferase levels in non-alcoholic fatty liver disease	D008107	Liver Diseases
alanine aminotransferase levels x alcohol consumption interaction	D015415	Biomarkers
alanine levels	D000409	Alanine
alanine transaminase levels	D008107	Liver Diseases
alanine transaminase levels in high alcohol intake	D008107	Liver Diseases
albumin-globulin ratio	D006402	Hematologic Diseases
albuminuria	D000419	Albuminuria
alcohol and nicotine co-dependence	D019966	Substance-Related Disorders
alcohol consumption	D000428	Alcohol Drinking
alcohol consumption (drinkers vs non-drinkers)	D000428	Alcohol Drinking
alcohol consumption (drinks per week)	D000428	Alcohol Drinking
alcohol consumption (drinks per week) (mtag)	D000428	Alcohol Drinking
alcohol consumption (heavy vs. light/non-drinkers)	D000428	Alcohol Drinking
alcohol consumption in current drinkers	D000428	Alcohol Drinking
alcohol consumption (max-drinks)	D000428	Alcohol Drinking
alcohol consumption over the past year	D000428	Alcohol Drinking
alcohol consumption (transferrin glycosylation)	D000428	Alcohol Drinking
alcohol dependence (age at onset)	D017668	Age of Onset
alcohol dependence	D000437	Alcoholism
alcohol dependence (desire to cut drinking)	D000437	Alcoholism
alcohol dependence (drinking despite problems)	D000437	Alcoholism
alcohol dependence (drinking more than intended)	D000437	Alcoholism
alcohol dependence (giving up activities)	D000428	Alcohol Drinking
alcohol dependence or chronic alcoholic pancreatitis or alcohol-related liver cirrhosis	D008104	Liver Cirrhosis, Alcoholic
alcohol dependence or heroin dependence or methamphetamine dependence	D000437	Alcoholism
alcohol dependence symptom count	D000437	Alcoholism
alcohol dependence (time spent drinking)	D000437	Alcoholism
alcohol dependence (tolerance)	D000437	Alcoholism
alcohol dependence (withdrawal)	D000437	Alcoholism
alcohol drinking	D000428	Alcohol Drinking
alcoholic chronic pancreatitis	D019512	Pancreatitis, Alcoholic
alcoholic hepatitis	D006519	Hepatitis, Alcoholic
alcoholism (12-month weekly alcohol consumption)	D000437	Alcoholism
alcoholism (alcohol dependence factor score)	D000437	Alcoholism
